,date,up,keep,down,predindex,hs300
293,2015-08-21 00:00:00,3304,3482,3803,-0.07021246658224285,3589.54
294,2015-08-28 00:00:00,3991,4564,5473,-0.1565934065934066,3342.29
295,2015-09-04 00:00:00,4271,4671,6565,-0.2117017349575489,3250.49
296,2015-09-11 00:00:00,4179,4380,6673,-0.22981938813122005,3347.19
297,2015-09-18 00:00:00,3766,3749,6132,-0.23903818953323905,3251.27
298,2015-09-25 00:00:00,2935,2536,4396,-0.1992906833992634,3231.95
299,2015-10-02 00:00:00,1850,1712,2403,-0.13002586409593228,3296.48
300,2015-10-09 00:00:00,1392,1416,1757,-0.11590981263893299,3340.12
301,2015-10-16 00:00:00,1522,1676,1935,-0.11946774660109923,3534.06
302,2015-10-23 00:00:00,1739,2124,2423,-0.16434406535319557,3571.24
303,2015-10-30 00:00:00,3148,4235,5110,-0.23758779365463792,3534.08
304,2015-11-06 00:00:00,4339,5737,7475,-0.2654477738276621,3793.37
305,2015-11-13 00:00:00,4397,5696,7639,-0.26935859089398473,3746.24
306,2015-11-20 00:00:00,4400,5645,7564,-0.26446004680708796,3774.38
307,2015-11-27 00:00:00,3380,3930,5403,-0.23033132187179778,3556.99
308,2015-12-04 00:00:00,2578,2746,3341,-0.12890690995100523,3677.59
309,2015-12-11 00:00:00,2354,2805,3201,-0.15247524752475247,3608.06
310,2015-12-18 00:00:00,2393,2726,3136,-0.1343823476216314,3767.91
311,2015-12-25 00:00:00,2354,2682,3029,-0.1253947612855285,3838.2
312,2016-01-01 00:00:00,2161,2645,2889,-0.14415841584158415,3470.41
313,2016-01-08 00:00:00,2226,2442,2682,-0.09290953545232274,3361.56
314,2016-01-15 00:00:00,2272,2506,2713,-0.08846539618856569,3118.73
315,2016-01-22 00:00:00,2413,2472,2972,-0.10380687093779016,3113.46
316,2016-01-29 00:00:00,2737,2344,3375,-0.1043848167539267,2946.09
317,2016-02-05 00:00:00,3096,2656,4302,-0.1630170316301703,2963.79
318,2016-02-12 00:00:00,2697,2105,3818,-0.17206446661550268,2946.71
319,2016-02-19 00:00:00,2659,1904,4105,-0.21377882909520993,3051.58
320,2016-02-26 00:00:00,2763,1990,4232,-0.2100071479628306,2948.03
321,2016-03-04 00:00:00,3219,2019,4833,-0.20044709388971685,3093.89
322,2016-03-11 00:00:00,3772,2471,5794,-0.21137361488605477,3018.28
323,2016-03-18 00:00:00,3990,2836,5854,-0.18935392117025598,3171.96
324,2016-03-25 00:00:00,3989,2842,6012,-0.20227977202279773,3197.82
325,2016-04-01 00:00:00,3996,2788,5974,-0.19839518555667002,3221.9
326,2016-04-08 00:00:00,4089,2711,5942,-0.18472734522978765,3185.73
327,2016-04-15 00:00:00,4261,2865,6003,-0.1697194076383476,3272.21
328,2016-04-22 00:00:00,4637,3240,6287,-0.15104357378249725,3174.9
329,2016-04-29 00:00:00,5324,5300,6728,-0.11649518752074345,3156.75
330,2016-05-06 00:00:00,5702,6488,6971,-0.1001341434545885,3130.35
331,2016-05-13 00:00:00,5309,6224,6603,-0.10862995298858294,3074.94
332,2016-05-20 00:00:00,4793,5856,5835,-0.09804290553255551,3078.22
333,2016-05-27 00:00:00,3675,4104,4275,-0.07547169811320754,3062.5
334,2016-06-03 00:00:00,2659,2387,3045,-0.067671809256662,3189.32
335,2016-06-10 00:00:00,2599,2295,2742,-0.026774012357236473,3066.34
336,2016-06-17 00:00:00,2641,2225,2655,-0.0026435045317220545,3110.36
337,2016-06-24 00:00:00,2796,2470,2793,0.0005367686527106817,3077.16
338,2016-07-01 00:00:00,3058,2503,2935,0.02052394460203571,3154.2
339,2016-07-08 00:00:00,3454,2668,3258,0.029201430274135878,3192.28
340,2016-07-15 00:00:00,4083,3264,3597,0.06328125,3276.28
341,2016-07-22 00:00:00,4305,3366,3912,0.04782767433369843,3225.16
342,2016-07-29 00:00:00,4178,3533,3897,0.03479876160990712,3203.93
343,2016-08-05 00:00:00,4111,3933,3887,0.028007001750437608,3205.11
344,2016-08-12 00:00:00,4198,4031,4066,0.015972894482090997,3294.23
345,2016-08-19 00:00:00,4355,4451,4385,-0.003432494279176201,3365.02
346,2016-08-26 00:00:00,5980,6466,6336,-0.02890548879506333,3307.09
347,2016-09-02 00:00:00,7510,7894,8443,-0.0584842976242713,3314.11
348,2016-09-09 00:00:00,7608,7706,8709,-0.06747563890421034,3318.04
349,2016-09-16 00:00:00,6992,7064,8275,-0.08403746643086396,3263.12
350,2016-09-23 00:00:00,5304,5101,6096,-0.06947368421052631,3275.67
351,2016-09-30 00:00:00,2970,2614,2979,-0.0015128593040847202,3253.28
352,2016-10-07 00:00:00,1902,1977,1795,0.02894238571814985,3293.87
353,2016-10-14 00:00:00,2260,2309,1861,0.09682115991264256,3305.85
354,2016-10-21 00:00:00,2956,3073,2612,0.0617816091954023,3327.74
355,2016-10-28 00:00:00,4770,5777,5102,-0.033630470016207455,3340.13
356,2016-11-04 00:00:00,7049,8720,7985,-0.06225887987228948,3354.17
357,2016-11-11 00:00:00,6779,8536,7934,-0.0785020050295657,3417.22
